name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2020 THOR CHATEAU 24DS,/rvdetails/used-class-c-rvs/2020-thor-chateau-24ds-front-living-90k-QMI2208211P,"

Coldwater,MI
",2208211P,Used,5,2,17782,97999,-
2018 THOR GEMINI 23TB,/rvdetails/used-class-c-rvs/2018-thor-gemini-23tb-front-living-90k-GKY3000188P,"

Georgetown,KY
",3000188P,Used,4,1,3534,97999,-
2016 THOR CHATEAU CITATION 24SA,/rvdetails/used-class-c-rvs/2016-thor-chateau-citation-24sa-front-living-90k-VAC2198429P,"

Vacaville,CA
",2198429P,Used,5,1,-,97499,-
2019 THOR FREEDOM ELITE 24FE,/rvdetails/used-class-c-rvs/2019-thor-freedom-elite-24fe-front-living-90k-IDA2204352Z,"

IdahoFalls,ID
",2204352Z,Used,5,1,-,97999,-
2018 THOR CHATEAU 24HL,/rvdetails/used-class-c-rvs/2018-thor-chateau-24hl-front-living-90k-KIN2167787,"

Kingston,NY
",2167787,Used,5,2,2335,97999,-
2020 WINNEBAGO VITA 24P,/rvdetails/used-class-c-rvs/2020-winnebago-vita-24p-front-living-90k-VAC2194946P,"

Vacaville,CA
",2194946P,Used,5,1,8660,97999,-
2017 DYNAMAX ISATA 3 24RW,/rvdetails/used-class-c-rvs/2017-dynamax-isata-3-24rw-front-living-90k-WDS2205882,"

Woodstock,GA
",2205882,Used,3,2,30202,97999,-
2018 WINNEBAGO VIEW 24D,/rvdetails/used-class-c-rvs/2018-winnebago-view-24d-rear-bath-90k-COC2169602,"

Cocoa,FL
",2169602,Used,4,1,11480,99499,-
2015 TIFFIN ALLEGRO BREEZE 32BR,/rvdetails/used-class-a-diesel-rvs/2015-tiffin-allegro-breeze-32br-front-living-90k-TAL2153711,"

Midway,FL
",2153711,Used,5,2,62330,98999,-
2017 FOREST RIVER FORESTER MBS 2401R,/rvdetails/used-class-c-rvs/2017-forest-river-forester-mbs-2401r-front-living-90k-MES2206925P,"

Mesa,AZ
",2206925P,Used,5,2,66657,98999,-
2014 WINNEBAGO VIEW 24G,/rvdetails/used-class-c-rvs/2014-winnebago-view-24g-front-living-90k-STX2207023,"

Spring,TX
",2207023,Used,6,2,31039,98999,-
2007 ITASCA MERIDIAN 36G,/rvdetails/used-class-a-diesel-rvs/2007-itasca-meridian-36g-rear-living-90k-WMO2160208,"

Wentzville,MO
",2160208,Used,5,2,78555,99999,-
2018 THOR FOUR WINDS 24WS,/rvdetails/used-class-c-rvs/2018-thor-four-winds-24ws-front-living-90k-DIL2194287,"

CampingWorldofDeKalb-
Cortland,IL
",2194287,Used,5,1,13852,99999,-
2018 THOR CHATEAU 24WS,/rvdetails/used-class-c-rvs/2018-thor-chateau-24ws-front-living-90k-KC1P112023,"

Longmont,CO
",P112023,Used,6,1,10211,100498,-
2008 FOUR WINDS MANDALAY 40H,/rvdetails/used-class-a-diesel-rvs/2008-four-winds-mandalay-40h-front-living-90k-POR2190439,"

WoodVillage,OR
",2190439,Used,3,4,55333,99499,-
2016 THOR CHATEAU CITATION 24SR,/rvdetails/used-class-c-rvs/2016-thor-chateau-citation-24sr-front-living-90k-OKC2192779,"

OklahomaCity,OK
",2192779,Used,6,2,13370,99499,-
2019 THOR CHATEAU CITATION 24SK,/rvdetails/used-class-c-rvs/2019-thor-chateau-citation-24sk-front-living-90k-GKY3000165P,"

Georgetown,KY
",3000165P,Used,4,2,28399,99999,-
2016 THOR SYNERGY CB24,/rvdetails/used-class-c-rvs/2016-thor-synergy-cb24-front-living-90k-FWT2207430,"

FortWorth,TX
",2207430,Used,6,1,16765,99999,-
2018 THOR COMPASS 24TF,/rvdetails/used-class-c-rvs/2018-thor-compass-24tf-front-living-125k-EMI2158095P,"

Escanaba,MI
",2158095P,Used,4,1,22869,101399,-
name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2016 THOR FOUR WINDS SIESTA 24SR,/rvdetails/used-class-c-rvs/2016-thor-four-winds-siesta-24sr-front-living-125k-ABRV2204007,"

Draper,UT
",2204007,Used,5,2,50163,100999,-
2016 THOR CHATEAU CITATION 24SR,/rvdetails/used-class-c-rvs/2016-thor-chateau-citation-24sr-front-living-125k-LOW2205556,"

Lowell,AR
",2205556,Used,5,2,59800,101499,-
2017 THOR FOUR WINDS SIESTA 24SS,/rvdetails/used-class-c-rvs/2017-thor-four-winds-siesta-24ss-front-living-125k-BRMI2206663T,"

BirchRun,MI
",2206663T,Used,5,2,-,102899,-
2019 WINNEBAGO ERA 170B,/rvdetails/used-class-b-rvs/2019-winnebago-era-170b-front-living-125k-LUB2204345,"

Lubbock,TX
",2204345,Used,2,-,21869,101999,-
2012 COACHMEN PATHFINDER 405FK,/rvdetails/used-class-a-diesel-rvs/2012-coachmen-pathfinder-405fk-front-living-125k-TUL2206893,"

Tulsa,OK
",2206893,Used,6,4,46501,101999,-
2021 JAYCO MELBOURNE 24T,/rvdetails/used-class-c-rvs/2021-jayco-melbourne-24t-front-living-125k-GRM2160203P,"

GrandRapids,MI
",2160203P,Used,3,1,4288,102999,-
2020 WINNEBAGO VITA 24P,/rvdetails/used-class-c-rvs/2020-winnebago-vita-24p-front-living-125k-RNV2168934P,"

CampingWorldofReno-
Reno,NV
",2168934P,Used,5,1,15049,102999,-
2019 WINNEBAGO FUSE 23A,/rvdetails/used-class-c-rvs/2019-winnebago-fuse-23a-rear-bath-125k-ROS2184307P,"

Rossford,OH
",2184307P,Used,4,1,7268,102999,-
2012 MONACO VESTA 35PBD,/rvdetails/used-class-a-diesel-rvs/2012-monaco-vesta-35pbd-front-living-125k-MER2194101M,"

Meridian,ID
",2194101M,Used,3,2,-,102999,-
2018 THOR SYNERGY SD24,/rvdetails/used-class-c-rvs/2018-thor-synergy-sd24-front-living-125k-SRV2182014P,"

Akron,OH
",2182014P,Used,5,2,27351,103999,-
2019 THOR SYNERGY 24ST,/rvdetails/used-class-c-rvs/2019-thor-synergy-24st-front-living-125k-SYU2193695,"

Syracuse,NY
",2193695,Used,4,1,51464,103999,-
2018 WINNEBAGO NAVION 24D,/rvdetails/used-class-c-rvs/2018-winnebago-navion-24d-rear-bath-125k-ROS2206095P,"

Rossford,OH
",2206095P,Used,5,1,29137,103999,-
2016 WINNEBAGO NAVION 24G,/rvdetails/used-class-c-rvs/2016-winnebago-navion-24g-front-living-125k-LNE200031P,"

Lincoln,NE
",200031P,Used,4,2,17773,104999,-
2015 RENEGADE VILLAGIO 25HAB,/rvdetails/used-class-c-rvs/2015-renegade-villagio-25hab-front-living-125k-COC2166570,"

Cocoa,FL
",2166570,Used,1,1,21866,104999,-
2018 WINNEBAGO VIEW 24J,/rvdetails/used-class-c-rvs/2018-winnebago-view-24j-front-living-125k-BRMI2171090P,"

BirchRun,MI
",2171090P,Used,4,1,31500,104999,-
2020 FOREST RIVER FORESTER MBS 2401Q,/rvdetails/used-class-c-rvs/2020-forest-river-forester-mbs-2401q-rear-bath-125k-WKS2198144,"

Wichita,KS
",2198144,Used,5,1,3375,104999,-
2017 WINNEBAGO NAVION 24J,/rvdetails/used-class-c-rvs/2017-winnebago-navion-24j-rear-living-125k-BOS2198743P,"

Berkley,MA
",2198743P,Used,4,1,15064,104999,-
